Fecha	Hora	CH4	CO	COV	HCNM	HTC	MP10	MP10 Intramuro	"MP2,5"	MPS	Neblina acida	NO	NO2	NOx	O3	Pb	SO₂
01/02/2022	0																
01/02/2022	1																
01/02/2022	2																
01/02/2022	3																
01/02/2022	4																
01/02/2022	5																
01/02/2022	6																
01/02/2022	7																
01/02/2022	8																
01/02/2022	9																
01/02/2022	10																
01/02/2022	11																
01/02/2022	12																
01/02/2022	13																
01/02/2022	14																
01/02/2022	15																
01/02/2022	16																
01/02/2022	17																
01/02/2022	18																
01/02/2022	19																
01/02/2022	20																
01/02/2022	21																
01/02/2022	22																
01/02/2022	23																
02/02/2022	0																
02/02/2022	1																
02/02/2022	2																
02/02/2022	3																
02/02/2022	4																
02/02/2022	5																
02/02/2022	6																
02/02/2022	7																
02/02/2022	8																
02/02/2022	9																
02/02/2022	10																
02/02/2022	11																
02/02/2022	12																
02/02/2022	13																
02/02/2022	14																
02/02/2022	15																
02/02/2022	16																
02/02/2022	17																
02/02/2022	18																
02/02/2022	19																
02/02/2022	20																
02/02/2022	21																
02/02/2022	22																
02/02/2022	23																
03/02/2022	0																
03/02/2022	1																
03/02/2022	2																
03/02/2022	3																
03/02/2022	4																
03/02/2022	5																
03/02/2022	6																
03/02/2022	7																
03/02/2022	8																
03/02/2022	9																
03/02/2022	10																
03/02/2022	11																
03/02/2022	12																
03/02/2022	13																
03/02/2022	14																
03/02/2022	15																
03/02/2022	16																
03/02/2022	17																
03/02/2022	18																
03/02/2022	19																
03/02/2022	20																
03/02/2022	21																
03/02/2022	22																
03/02/2022	23																
04/02/2022	0																
04/02/2022	1																
04/02/2022	2																
04/02/2022	3																
04/02/2022	4																
04/02/2022	5																
04/02/2022	6																
04/02/2022	7																
04/02/2022	8																
04/02/2022	9																
04/02/2022	10																
04/02/2022	11																
04/02/2022	12																
04/02/2022	13																
04/02/2022	14																
04/02/2022	15																
04/02/2022	16																
04/02/2022	17																
04/02/2022	18																
04/02/2022	19																
04/02/2022	20																
04/02/2022	21																
04/02/2022	22																
04/02/2022	23																
05/02/2022	0																
05/02/2022	1																
05/02/2022	2																
05/02/2022	3																
05/02/2022	4																
05/02/2022	5																
05/02/2022	6																
05/02/2022	7																
05/02/2022	8																
05/02/2022	9																
05/02/2022	10																
05/02/2022	11																
05/02/2022	12																
05/02/2022	13																
05/02/2022	14																
05/02/2022	15																
05/02/2022	16																
05/02/2022	17																
05/02/2022	18																
05/02/2022	19																
05/02/2022	20																
